text,label
guanidine is indicated for the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of eatonlambert it is not indicated for treating myasthenia gravis the eatonlambert syndrome is ordinarily differentiated from myasthenia gravis by the usual association of the syndrome with small cell carcinoma of the lung but myography may be necessary to make the diagnosis,2
guanidine is indicated for the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of eatonlambert it is not indicated for treating myasthenia gravis the eatonlambert syndrome is ordinarily differentiated from myasthenia gravis by the usual association of the syndrome with small cell carcinoma of the lung but myography may be necessary to make the diagnosis,1
parkinsons diseaseropinirole hydrochloride tablets are indicated for the treatment of the signs and symptoms of idiopathic parkinsons diseasethe effectiveness of ropinirole hydrochloride tablets were demonstrated in randomized controlled trials in patients with early parkinsons disease who were not receiving concomitant ldopa therapy as well as in patients with advanced disease on concomitant ldopa see clinical pharmacology clinical trials restless legs syndromeropinirole hydrochloride tablets are indicated for the treatment of moderatetosevere primary restless legs syndrome rlskey diagnostic criteria for rls are an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations symptoms begin or worsen during periods of rest or inactivity such as lying or sitting symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues and symptoms are worse or occur only in the evening or night difficulty falling asleep may frequently be associated with moderatetosevere rls,3
mirapexr pramipexole dihydrochloride tablets are indicated for the treatment of the signs and symptoms of idiopathic parkinsons disease the effectiveness of mirapex tablets was demonstrated in randomized controlled trials in patients with early parkinsons disease who were not receiving concomitant levodopa therapy as well as in patients with advanced disease on concomitant levodopa see clinical studiesmirapex tablets are indicated for the treatment of moderatetosevere primary restless legs syndrome rls key diagnostic criteria for rls are an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations symptoms begin or worsen during periods of rest or inactivity such as lying or sitting symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues and symptoms are worse or occur only in the evening or night difficulty falling asleep may frequently be associated with symptoms of rls,3
mirapexr pramipexole dihydrochloride tablets are indicated for the treatment of the signs and symptoms of idiopathic parkinsons disease the effectiveness of mirapex tablets was demonstrated in randomized controlled trials in patients with early parkinsons disease who were not receiving concomitant levodopa therapy as well as in patients with advanced disease on concomitant levodopa see clinical studiesmirapex tablets are indicated for the treatment of moderatetosevere primary restless legs syndrome rls key diagnostic criteria for rls are an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations symptoms begin or worsen during periods of rest or inactivity such as lying or sitting symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues and symptoms are worse or occur only in the evening or night difficulty falling asleep may frequently be associated with symptoms of rls,3
neupro is a dopamine agonist indicated for the treatment of parkinsons disease 11moderatetosevere primary restless legs syndrome 12neupro is indicated for the treatment of parkinsons diseaseneupro is indicated for the treatment of moderatetosevere primary restless legs syndrome,3
neupro is a dopamine agonist indicated for the treatment of parkinsons disease 11moderatetosevere primary restless legs syndrome 12neupro is indicated for the treatment of parkinsons diseaseneupro is indicated for the treatment of moderatetosevere primary restless legs syndrome,3
ilaris is an interleukin1b blocker indicated for the treatment of periodic fever syndromes cryopyrinassociated periodic syndromes caps familial cold autoinflammatory syndrome fcas 11mucklewells syndrome mws 11 tumor necrosis factor receptor associated periodic syndrome traps 11 hyperimmunoglobulin d syndrome hidsmevalonate kinase deficiency mkd11 familial mediterranean fever fmf11 active systemic juvenile idiopathic arthritis sjia 12 ilarisr cryopyrinassociated periodic syndromes capsilaris is indicated for the treatment of cryopyrinassociated periodic syndromes caps in adults and children 4 years of age and older including familial cold autoinflammatory syndrome fcas mucklewells syndrome mws tumor necrosis factor receptor tnf associated periodic syndrome traps ilaris is indicated for the treatment of tumor necrosis factor tnf receptor associated periodic syndrome traps in adult and pediatric patients hyperimmunoglobulin d syndrome hidsmevalonate kinase deficiency mkd ilaris is indicated for the treatment of hyperimmunoglobulin d hyperigd syndrome hidsmevalonate kinase deficiency mkd in adult and pediatric patients familial mediterranean fever fmf ilaris is indicated for the treatment of familial mediterranean fever fmf in adult and pediatric patientsilaris is indicated for the treatment of active systemic juvenile idiopathic arthritis sjia in patients aged 2 years and older,3
ilaris is an interleukin1b blocker indicated for the treatment of periodic fever syndromes cryopyrinassociated periodic syndromes caps familial cold autoinflammatory syndrome fcas 11mucklewells syndrome mws 11 tumor necrosis factor receptor associated periodic syndrome traps 11 hyperimmunoglobulin d syndrome hidsmevalonate kinase deficiency mkd11 familial mediterranean fever fmf11 active systemic juvenile idiopathic arthritis sjia 12 ilarisr cryopyrinassociated periodic syndromes capsilaris is indicated for the treatment of cryopyrinassociated periodic syndromes caps in adults and children 4 years of age and older including familial cold autoinflammatory syndrome fcas mucklewells syndrome mws tumor necrosis factor receptor tnf associated periodic syndrome traps ilaris is indicated for the treatment of tumor necrosis factor tnf receptor associated periodic syndrome traps in adult and pediatric patients hyperimmunoglobulin d syndrome hidsmevalonate kinase deficiency mkd ilaris is indicated for the treatment of hyperimmunoglobulin d hyperigd syndrome hidsmevalonate kinase deficiency mkd in adult and pediatric patients familial mediterranean fever fmf ilaris is indicated for the treatment of familial mediterranean fever fmf in adult and pediatric patientsilaris is indicated for the treatment of active systemic juvenile idiopathic arthritis sjia in patients aged 2 years and older,3
ropinirole extendedrelease tablets are contraindicated in patients known to have a hypersensitivityallergic reaction including urticaria angioedema rash pruritus to ropinirole or any of the excipientshistory of hypersensitivity allergic reaction including urticaria angioedema rash pruritus to ropinirole or to any of the excipients 4,2
ropinirole extendedrelease tablets are contraindicated in patients known to have a hypersensitivityallergic reaction including urticaria angioedema rash pruritus to ropinirole or any of the excipientshistory of hypersensitivity allergic reaction including urticaria angioedema rash pruritus to ropinirole or to any of the excipients 4,1
ropinirole extendedrelease tablets are contraindicated in patients known to have a hypersensitivityallergic reaction including urticaria angioedema rash pruritus to ropinirole or any of the excipientshistory of hypersensitivity allergic reaction including urticaria angioedema rash pruritus to ropinirole or to any of the excipients 4,3
ropinirole extendedrelease tablets are contraindicated in patients known to have a hypersensitivityallergic reaction including urticaria angioedema rash pruritus to ropinirole or any of the excipientshistory of hypersensitivity allergic reaction including urticaria angioedema rash pruritus to ropinirole or to any of the excipients 4,1
vraylar is contraindicated in patients with history of a hypersensitivity reaction to cariprazine reactions have ranged from rash pruritus urticaria and events suggestive of angioedema eg swollen tongue lip swelling face edema pharyngeal edema and swelling faceknown hypersensitivity to vraylar 4,2
vraylar is contraindicated in patients with history of a hypersensitivity reaction to cariprazine reactions have ranged from rash pruritus urticaria and events suggestive of angioedema eg swollen tongue lip swelling face edema pharyngeal edema and swelling faceknown hypersensitivity to vraylar 4,3
vraylar is contraindicated in patients with history of a hypersensitivity reaction to cariprazine reactions have ranged from rash pruritus urticaria and events suggestive of angioedema eg swollen tongue lip swelling face edema pharyngeal edema and swelling faceknown hypersensitivity to vraylar 4,0
ravicti is contraindicated in patients with known hypersensitivity to phenylbutyrate signs of hypersensitivity include wheezing dyspnea coughing hypotension flushing nausea and rashknown hypersensitivity to phenylbutyrate 4,2
ravicti is contraindicated in patients with known hypersensitivity to phenylbutyrate signs of hypersensitivity include wheezing dyspnea coughing hypotension flushing nausea and rashknown hypersensitivity to phenylbutyrate 4,2
rexulti is contraindicated in patients with a known hypersensitivity to brexpiprazole or any of its components reactions have included rash facial swelling urticaria and anaphylaxisknown hypersensitivity to rexulti or any of its components 4,3
rexulti is contraindicated in patients with a known hypersensitivity to brexpiprazole or any of its components reactions have included rash facial swelling urticaria and anaphylaxisknown hypersensitivity to rexulti or any of its components 4,1
pantoprazole sodium delayedrelease tablets are indicated forpantoprazole sodium delayedrelease tablet is a proton pump inhibitor indicated for the following shortterm treatment of erosive esophagitis associated with gastroesophageal reflux disease gerd 11maintenance of healing of erosive esophagitis 12pathological hypersecretory conditions including zollingerellison syndrome 13 pantoprazole sodium delayedrelease tablets are indicated in adults for the shortterm treatment up to 8 weeks in the healing and symptomatic relief of erosive esophagitis for those adult patients who have not healed after 8 weeks of treatment an additional 8week course of pantoprazole sodium delayedrelease tablets may be considered safety of treatment beyond 8 weeks in pediatric patients has not been establishedpediatric indication and usage information in pediatric patients ages five years and older with erosive esophagitis associated with gerd is approved for wyeth pharmaceuticals incs pantoprazole sodium delayedrelease tablets however due to wyeth pharmaceuticals incs marketing exclusivity rights this drug product is not labeled with that pediatric informationpantoprazole sodium delayedrelease tablets are indicated for maintenance of healing of erosive esophagitis and reduction in relapse rates of daytime and nighttime heartburn symptoms in adult patients with gerd controlled studies did not extend beyond 12 monthspantoprazole sodium delayedrelease tablets are indicated for the longterm treatment of pathological hypersecretory conditions including zollingerellison syndrome,3
pantoprazole sodium delayedrelease tablets are indicated forpantoprazole sodium delayedrelease tablet is a proton pump inhibitor indicated for the following shortterm treatment of erosive esophagitis associated with gastroesophageal reflux disease gerd 11maintenance of healing of erosive esophagitis 12pathological hypersecretory conditions including zollingerellison syndrome 13 pantoprazole sodium delayedrelease tablets are indicated in adults for the shortterm treatment up to 8 weeks in the healing and symptomatic relief of erosive esophagitis for those adult patients who have not healed after 8 weeks of treatment an additional 8week course of pantoprazole sodium delayedrelease tablets may be considered safety of treatment beyond 8 weeks in pediatric patients has not been establishedpediatric indication and usage information in pediatric patients ages five years and older with erosive esophagitis associated with gerd is approved for wyeth pharmaceuticals incs pantoprazole sodium delayedrelease tablets however due to wyeth pharmaceuticals incs marketing exclusivity rights this drug product is not labeled with that pediatric informationpantoprazole sodium delayedrelease tablets are indicated for maintenance of healing of erosive esophagitis and reduction in relapse rates of daytime and nighttime heartburn symptoms in adult patients with gerd controlled studies did not extend beyond 12 monthspantoprazole sodium delayedrelease tablets are indicated for the longterm treatment of pathological hypersecretory conditions including zollingerellison syndrome,3
pantoprazole sodium delayedrelease tablets are indicated forpantoprazole sodium delayedrelease tablet is a proton pump inhibitor indicated for the following shortterm treatment of erosive esophagitis associated with gastroesophageal reflux disease gerd 11maintenance of healing of erosive esophagitis 12pathological hypersecretory conditions including zollingerellison syndrome 13 pantoprazole sodium delayedrelease tablets are indicated in adults for the shortterm treatment up to 8 weeks in the healing and symptomatic relief of erosive esophagitis for those adult patients who have not healed after 8 weeks of treatment an additional 8week course of pantoprazole sodium delayedrelease tablets may be considered safety of treatment beyond 8 weeks in pediatric patients has not been establishedpediatric indication and usage information in pediatric patients ages five years and older with erosive esophagitis associated with gerd is approved for wyeth pharmaceuticals incs pantoprazole sodium delayedrelease tablets however due to wyeth pharmaceuticals incs marketing exclusivity rights this drug product is not labeled with that pediatric informationpantoprazole sodium delayedrelease tablets are indicated for maintenance of healing of erosive esophagitis and reduction in relapse rates of daytime and nighttime heartburn symptoms in adult patients with gerd controlled studies did not extend beyond 12 monthspantoprazole sodium delayedrelease tablets are indicated for the longterm treatment of pathological hypersecretory conditions including zollingerellison syndrome,3
esomeprazole magnesium delayedrelease capsule usp is a proton pump inhibitor indicated for the following treatment of gastroesophageal reflux disease gerd 11risk reduction of nsaidassociated gastric ulcer 12 h pylori13 pathological hypersecretory conditions including zollingerellison syndrome 14 healing of erosive esophagitis esomeprazole magnesium delayedrelease capsules are indicated for the shortterm treatment 4 to 8 weeks in the healing and symptomatic resolution of diagnostically confirmed erosive esophagitis for those patients who have not healed after 4 to 8 weeks of treatment an additional 4 to 8 week course of esomeprazole magnesium delayedrelease capsules may be considered in infants 1 month to less than 1 year esomeprazole magnesium delayedrelease capsules are indicated for shortterm treatment up to 6 weeks of erosive esophagitis due to acidmediated gerd maintenance of healing of erosive esophagitis esomeprazole magnesium delayedrelease capsules are indicated to maintain symptom resolution and healing of erosive esophagitis controlled studies do not extend beyond 6 months symptomatic gastroesophageal reflux disease esomeprazole magnesium delayedrelease capsules are indicated for shortterm treatment 4 to 8 weeks of heartburn and other symptoms associated with gerd in adults and children 1 year or older esomeprazole magnesium delayedrelease capsules are indicated for the reduction in the occurrence of gastric ulcers associated with continuous nsaid therapy in patients at risk for developing gastric ulcers patients are considered to be at risk due to their age 60 andor documented history of gastric ulcers controlled studies do not extend beyond 6 months triple therapy esomeprazole magnesium delayedrelease capsules plus amoxicillin and clarithromycin esomeprazole magnesium delayedrelease capsules in combination with amoxicillin and clarithromycin are indicated for the treatment of patients with h pylori h pylorih pyloridosage and administration 2clinical studies 14in patients who fail therapy susceptibility testing should be done if resistance to clarithromycin is demonstrated or susceptibility testing is not possible alternative antimicrobial therapy should be instituted see clinical pharmacology 124esomeprazole magnesium delayedrelease capsule usp is indicated for the longterm treatment of pathological hypersecretory conditions including zollingerellison syndrome,3
