text,label
"nisoldipine extendedrelease tablets are indicated for the treatment of hypertension they may be used alone or in combination with other antihypertensive agents,",3
"none bisoprolol fumarate tablets usp are indicated in the management of hypertension they may be used alone or in combination with other antihypertensive agents,",3
"pindolol tablets are indicated in the management of hypertension it may be used alone or concomitantly with other antihypertensive agents particularly with a thiazidetype diuretic,",3
"eprosartan mesylate tablets are indicated for the treatment of hypertension they may be used alone or in combination with other antihypertensives such as diuretics and calcium channel blockers,",3
"none labetalol hydrochloride tablets usp are indicated in the management of hypertension labetalol hydrochloride tablets usp may be used alone or in combination with other antihypertensive agents especially thiazide and loop diuretics,",3
"hypertensiontimolol maleate tablets are indicated for the treatment of hypertension they may be used alone or in combination with other antihypertensive agents especially thiazidetype diuretics myocardial infarctiontimolol is indicated in patients who have survived the acute phase of myocardial infarction and are clinically stable to reduce cardiovascular mortality and the risk of reinfarction migrainetimolol is indicated for the prophylaxis of migraine headache,",3
"hypertensionacebutolol hydrochloride capsules usp are indicated for the management of hypertension in adults it may be used alone or in combination with other antihypertensive agents especially thiazidetype diuretics ventricular arrhythmiasacebutolol hydrochloride capsules usp are indicated in the management of ventricular premature beats it reduces the total number of premature beats as well as the number of paired and multiform ventricular ectopic beats and ront beats,",3
"nicardipine hydrochloride capsules are indicated for the management of patients with chronic stable angina effortassociated angina nicardipine hydrochloride capsules may be used alone or in combination with betablockers nicardipine hydrochloride capsules are indicated for the treatment of hypertension nicardipine hydrochloride capsules may be used alone or in combination with other antihypertensive drugs in administering nicardipine hydrochloride it is important to be aware of the relatively large peak to trough differences in blood pressure effect see dosage and administration,",3
"betaxolol hydrochloride ophthalmic solution has been shown to be effective in lowering intraocular pressure and is indicated in the treatment of ocular hypertension and chronic openangle glaucoma it may be used alone or in combination with other antiglaucoma drugsin clinical studies betaxolol hydrochloride ophthalmic solution was safely used to lower intraocular pressure in 47 patients with both glaucoma and reactive airway disease who were followed for a mean period of 15 months however caution should be used in treating patients with severe reactive airway disease or a history of asthma,",3
"terazosin capsules usp are indicated for the treatment of symptomatic benign prostatic hyperplasia bph there is a rapid response with approximately 70 of patients experiencing an increase in urinary flow and improvement in symptoms of bph when treated with terazosin capsules usp the longterm effects of terazosin capsules usp on the incidence of surgery acute urinary obstruction or other complications of bph are yet to be determinedterazosin capsules usp are also indicated for the treatment of hypertension terazosin capsules usp can be used alone or in combination with other antihypertensive agents such as diuretics or betaadrenergic blocking agents,",3
"because of the potential for serious adverse effects minoxidil tablets are indicated only in the treatment of hypertension that is symptomatic or associated with target organ damage and is not manageable with maximum therapeutic doses of a diuretic plus two other antihypertensive drugs at the present time use in milder degrees of hypertension is not recommended because the benefitrisk relationship in such patients has not been definedminoxidil reduced supine diastolic blood pressure by 20 mm hg or to 90 mm hg or less in approximately 75 of patients most of who had hypertension that could not be controlled by other drugs,",3
"benazepril hydrochloride tablets usp are indicated for the treatment of hypertension benazepril hydrochloride tablets may be used alone or in combination with thiazide diureticsin using benazepril consideration should be given to the fact that another angiotensinconverting enzyme inhibitor captopril has caused agranulocytosis particularly in patients with renal impairment or collagenvascular disease available data are insufficient to show that benazepril hydrochloride tablets do not have a similar risk see warningsblack patients receiving ace inhibitors have been reported to have a higher incidence of angioedema compared to nonblacks it should also be noted that in controlled clinical trials ace inhibitors have an effect on blood pressure that is less in black patients than in nonblacks,",3
"none n hypertension none trandolapril tablets are indicated for the treatment of hypertension they nmay be used alone or in combination with other antihypertensive medication such nas hydrochlorothiazide in considering the use of trandolapril tablets it should be noted that in ncontrolled trials ace inhibitors for which adequate data are available cause a nhigher rate of angioedema in black than in nonblack patients see n warnings angioedema when using trandolapril tablets consideration should be given to the fact nthat another angiotensin converting enzyme inhibitor captopril has caused nagranulocytosis particularly in patients with renal impairment or ncollagenvascular disease available data are insufficient to show that ntrandolapril tablets do not have a similar risk see n warnings,",3
"n hypertension quinapril hydrochloride tablets are indicated for the treatment of hypertension it may be used alone or in combination with thiazide diuretics in using quinapril hydrochloride tablets consideration should be given to the fact that another angiotensinconverting enzyme inhibitor captopril has caused agranulocytosis particularly in patients with renal impairment or collagen vascular disease available data are insufficient to show that quinapril hydrochloride tablets do not have a similar risk see warnings n angioedema in black patients black patients receiving ace inhibitor monotherapy have been reported to have a higher incidence of angioedema compared to nonblacks it should also be noted that in controlled clinical trials ace inhibitors have an effect on blood pressure that is less in black patients than in nonblacks none,",3
